,longitude,latitude,date,month,daynight,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,soil_type,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
0,-115.427,56.423,2019-01-01,01,D,5.5707765,0.45173168,271.0074,269.91986,270.78244,272.81104,275.3493,3.0,4.7699086e-06,0.4212553,0.40767783,0.40086707,0.38412157
1,-115.1765,56.423,2019-01-01,01,D,5.457507,0.32844225,270.8977,270.18192,271.025,273.2028,276.0432,6.0,1.14780905e-05,0.5120116,0.5003943,0.49265513,0.47702563
2,-114.926,56.423,2019-01-01,01,D,5.4814463,0.16812854,270.3805,270.59683,271.27734,273.13492,275.68143,6.0,2.2218097e-05,0.48340064,0.47604957,0.47167087,0.45997638
3,-115.427,56.173,2019-01-01,01,D,5.965777,0.23570837,270.87494,270.814,271.24725,272.949,275.31134,3.0,9.094947e-13,0.39665484,0.39082453,0.38847387,0.37030107
4,-115.1765,56.173,2019-01-01,01,D,5.866967,0.015959233,270.8803,270.81192,271.39343,273.2669,275.8091,6.0,2.8072282e-07,0.46331683,0.45824236,0.45411518,0.4371985
5,-114.926,56.173,2019-01-01,01,D,5.7690434,0.0154818,270.99313,270.69238,271.35345,273.4492,276.26285,6.0,1.2327382e-06,0.5471105,0.5393649,0.5365328,0.52485734
6,-115.427,55.922,2019-01-01,01,D,6.37926,-0.15760082,270.56915,271.30127,271.5284,273.12292,275.231,3.0,9.094947e-13,0.38840383,0.3865214,0.38543266,0.37553918
7,-115.1765,55.922,2019-01-01,01,D,6.272714,-0.16174793,270.5451,271.33255,271.61813,273.2786,275.46774,3.0,2.7902752e-07,0.431606,0.43093097,0.43247607,0.41907144
8,-114.926,55.922,2019-01-01,01,D,6.1650004,-0.1375581,270.68823,271.2032,271.5731,273.49426,276.01712,3.0,1.2340943e-06,0.5275934,0.5239413,0.52669895,0.5186688
9,-122.991,56.231,2019-01-01,01,N,2.293095,1.6634226,268.88416,272.7371,271.8624,271.85822,273.73193,1.0,3.7021946e-05,0.18635148,0.18728854,0.19756243,0.2411856
10,-122.7405,56.231,2019-01-01,01,N,2.6008441,1.7804787,270.0699,272.78577,271.91922,272.17313,273.94843,1.0,1.1534597e-05,0.2254565,0.22657566,0.237401,0.27061328
11,-122.49,56.231,2019-01-01,01,N,2.5823045,1.7751176,271.36346,272.6506,272.02206,272.54303,274.12503,1.0,4.5010456e-06,0.24229604,0.24161458,0.25014198,0.2826738
12,-122.991,55.981,2019-01-01,01,N,2.0209715,2.074852,269.24088,272.66248,272.08487,272.03915,273.7691,1.0,7.569164e-05,0.19289908,0.1917388,0.19098577,0.2445592
13,-122.7405,55.981,2019-01-01,01,N,2.4103317,2.1920493,270.3551,272.73083,272.12955,272.3229,273.96323,1.0,4.8370526e-05,0.22828297,0.2273027,0.22725393,0.27212435
14,-122.49,55.981,2019-01-01,01,N,2.445827,2.1296718,271.80713,272.82684,272.18466,272.69928,274.2945,2.0,3.3114695e-05,0.2949254,0.29573148,0.29539895,0.32616162
15,-122.991,55.73,2019-01-01,01,N,0.97918975,2.7876685,270.1756,272.6973,272.1597,272.08,273.77518,1.0,0.00016645803,0.19779322,0.19251564,0.17650923,0.2389157
16,-122.7405,55.73,2019-01-01,01,N,2.00843,2.8169527,270.34476,272.79813,272.11182,272.05426,273.7548,1.0,0.00013743166,0.19473478,0.18812846,0.17257524,0.24630989
