,longitude,latitude,date,month,daynight,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,soil_type,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
0,-116.96,53.872,2013-01-02,01,D,2.577981,2.1703324,261.5798,271.9474,272.21912,273.4599,275.5768,2.0,0.0,0.35101327,0.35108474,0.34677792,0.4033988
1,-116.709,53.872,2013-01-02,01,D,2.902163,1.6527315,261.5183,271.76764,272.26575,273.45328,275.589,2.0,0.0,0.34652036,0.34658206,0.3408736,0.39739022
2,-116.96,53.622,2013-01-02,01,D,3.3559077,1.3580445,262.9672,272.02576,272.1829,273.672,276.51297,6.0,0.0,0.48155987,0.48300555,0.48225823,0.54154503
3,-116.709,53.622,2013-01-02,01,D,3.43733,0.9175549,262.46878,271.9024,272.23648,273.70618,276.6566,6.0,0.0,0.48966196,0.49138033,0.49070582,0.5480784
4,-116.96,53.371,2013-01-02,01,D,3.7399683,2.2376537,265.37054,271.9471,272.04083,273.41275,276.02228,2.0,0.0,0.44449666,0.44638315,0.44294468,0.5036497
5,-116.709,53.371,2013-01-02,01,D,2.9984264,1.7144932,263.722,271.95068,272.08942,273.7303,277.01086,6.0,0.0,0.55864805,0.5618073,0.56794345,0.62073696
6,-117.214,53.593,2013-01-03,01,D,3.9565287,2.3982944,268.6047,271.8467,272.03442,273.41754,275.8659,2.0000305,0.0,0.42054695,0.41852683,0.4156547,0.47603503
7,-116.9635,53.593,2013-01-03,01,D,4.475634,1.9403179,270.28287,272.073,272.2016,273.69757,276.62286,6.0,0.0,0.5011903,0.5031533,0.503438,0.5622458
8,-116.713,53.593,2013-01-03,01,D,4.8125,1.7110395,271.35,272.1235,272.24854,273.74814,276.81262,6.0,0.0,0.51457334,0.51669437,0.51770437,0.5740183
9,-117.214,53.343,2013-01-03,01,D,3.7990859,3.1440773,268.89148,271.28702,271.5001,272.82907,275.04443,2.0000305,0.0,0.37045178,0.3602911,0.35505617,0.41932482
10,-116.9635,53.343,2013-01-03,01,D,4.406724,2.6727324,271.61093,271.90005,272.04907,273.31848,275.72098,2.0000305,0.0,0.41552734,0.4172085,0.4123644,0.4743189
11,-116.713,53.343,2013-01-03,01,D,4.3327017,2.4031832,272.203,272.01675,272.09518,273.6683,276.80634,6.0,0.0,0.54227424,0.5452435,0.55107623,0.6044972
12,-117.214,53.092,2013-01-03,01,D,2.8063354,3.5210981,266.74817,271.74304,272.02576,273.02966,274.54224,1.0,0.0,0.2880628,0.28184628,0.2767461,0.33736157
13,-116.9635,53.092,2013-01-03,01,D,3.827954,3.3367033,270.24167,272.0614,272.12964,272.94247,274.89783,2.0000305,0.0,0.32260263,0.3216495,0.31538832,0.38071358
14,-116.713,53.092,2013-01-03,01,D,3.708257,3.0150342,271.60114,271.8049,271.1975,271.79602,275.37048,2.0000305,0.0,0.4148097,0.4078154,0.40854245,0.4717304
15,-117.698,53.987,2013-01-04,01,D,2.1572914,1.5062695,260.7316,272.31848,272.24426,273.3218,275.08157,2.0,7.7894356e-08,0.3154878,0.31654668,0.31451765,0.36951682
16,-117.4475,53.987,2013-01-04,01,D,1.4966134,1.8589498,260.78543,272.46085,272.26544,273.35913,275.20544,2.0,7.7894356e-08,0.3193251,0.3207721,0.31922007,0.36716336
17,-117.197,53.987,2013-01-04,01,D,0.9937699,2.1070232,261.65985,272.48788,272.27155,273.39035,275.29483,2.0,1.1368684e-13,0.32246447,0.32356182,0.32181117,0.3698848
18,-117.698,53.736,2013-01-04,01,D,2.2122147,1.813508,261.67212,272.08835,272.10797,273.2143,274.91144,2.0,2.2223103e-06,0.31458163,0.31485122,0.31206512,0.36930123
19,-117.4475,53.736,2013-01-04,01,D,1.6489445,2.0168915,260.7995,272.28772,272.18314,273.32062,275.1708,2.0,1.3890075e-06,0.32982495,0.32982945,0.3254238,0.38449767
20,-117.197,53.736,2013-01-04,01,D,1.52599,1.6374795,261.2429,272.4108,272.23218,273.46814,275.6629,2.0,2.5972685e-07,0.3838756,0.38433784,0.380867,0.44113415
21,-124.484,53.616,2013-01-06,01,D,0.17866519,2.1254148,265.90323,272.2761,271.90594,272.57687,274.53983,2.0,2.590297e-05,0.31886718,0.31929278,0.32601506,0.3446994
22,-124.2335,53.616,2013-01-06,01,D,0.25147116,1.9650328,265.8305,272.41656,272.13004,272.7588,274.58456,2.0,1.7335766e-05,0.32631877,0.32732233,0.3375948,0.34761316
23,-123.983,53.616,2013-01-06,01,D,0.5114344,1.8433447,265.92593,272.54306,272.20944,272.7889,274.66824,2.0,1.2520326e-05,0.3272974,0.32943588,0.33732036,0.34628928
24,-124.484,53.366,2013-01-06,01,D,0.39744738,1.8818812,266.291,271.50687,270.94522,272.14008,274.2695,2.0,1.4628724e-05,0.32539773,0.31685054,0.33710587,0.3474158
25,-124.2335,53.366,2013-01-06,01,D,0.5689393,1.7987418,266.19662,272.41638,271.71024,272.37302,274.4249,2.0,2.3069899e-05,0.31956136,0.31595743,0.3342719,0.34559423
26,-123.983,53.366,2013-01-06,01,D,0.6788769,1.7554199,266.26547,272.61868,271.87708,272.46796,274.58014,2.0,2.034201e-05,0.31773114,0.31688395,0.32686695,0.34087548
27,-124.484,53.115,2013-01-06,01,D,0.99040395,2.468631,267.64713,271.85962,271.0358,272.07114,274.23087,2.0,1.4615694e-05,0.32574257,0.3183319,0.3383773,0.34893066
28,-124.2335,53.115,2013-01-06,01,D,1.0969086,2.4792168,267.84396,272.5736,271.6245,272.2627,274.4077,2.0,2.8045008e-05,0.317718,0.31443626,0.33220872,0.34312153
29,-123.983,53.115,2013-01-06,01,D,0.9324086,2.5473356,267.99042,272.69986,271.86023,272.44156,274.59903,2.0,2.2278184e-05,0.31565398,0.31501877,0.3269428,0.34058696
30,-117.541,54.099,2013-01-08,01,D,6.5187626,-0.08179127,269.71494,271.8243,272.29074,273.3517,275.08517,2.0,2.7548422e-06,0.32058746,0.32296774,0.3235039,0.36741135
31,-117.29,54.099,2013-01-08,01,D,6.3553195,-0.44205272,270.19385,271.7774,272.2885,273.37622,275.1615,2.0,5.0184317e-06,0.32068,0.32296774,0.32382035,0.365367
32,-117.541,53.849,2013-01-08,01,D,6.2546825,0.3145365,269.00925,272.05957,272.27374,273.28592,274.91293,2.0,2.9781472e-07,0.3133667,0.31439087,0.3112594,0.36653012
33,-117.29,53.849,2013-01-08,01,D,6.249302,-0.07565273,269.4772,272.08746,272.318,273.3837,275.23315,2.0,9.3939093e-07,0.34433252,0.34564272,0.34342253,0.3972545
34,-117.541,53.598,2013-01-08,01,D,5.719263,0.8768864,268.34348,271.9823,272.04343,273.10403,274.72617,2.0,1.5491878e-07,0.31366426,0.3114956,0.30619657,0.36574042
35,-117.29,53.598,2013-01-08,01,D,5.937886,0.43575746,268.92786,272.08347,272.12262,273.355,275.57343,2.0,2.2737368e-13,0.40666276,0.4053772,0.4030956,0.46209818
36,-124.471,53.606,2013-01-08,01,N,-1.4875172,0.46602443,268.03638,272.6545,272.1055,272.5668,274.41687,2.0,1.620335e-05,0.31954417,0.31958362,0.32692015,0.3450188
37,-124.2205,53.606,2013-01-08,01,N,-1.5742422,0.7362421,267.98022,272.6481,272.28052,272.74033,274.46875,2.0,1.4061427e-05,0.3267327,0.3275903,0.33865887,0.3479835
38,-123.97,53.606,2013-01-08,01,N,-1.4626694,0.83033204,267.74664,272.85532,272.34143,272.76324,274.55252,2.0,1.0322208e-05,0.32660428,0.3288449,0.3365017,0.346147
39,-124.471,53.356,2013-01-08,01,N,-1.6649394,0.20548463,268.03955,271.71024,271.3172,272.12363,274.18082,2.0,2.815351e-05,0.32611525,0.3176336,0.3375885,0.34770814
40,-124.2205,53.356,2013-01-08,01,N,-1.7253494,0.26641232,267.93677,272.62494,271.96265,272.3747,274.32745,2.0,2.0748252e-05,0.31801227,0.31573492,0.33252457,0.344942
41,-123.97,53.356,2013-01-08,01,N,-1.5662615,0.29452106,267.81934,272.93207,272.09482,272.46463,274.4707,2.0,1.4368219e-05,0.3162123,0.31633386,0.32523113,0.34029043
42,-124.471,53.106,2013-01-08,01,N,-1.6937114,0.3179768,268.01382,272.00937,271.47696,272.08087,274.15256,2.0,5.643478e-05,0.32483968,0.31902522,0.33785608,0.34872258
43,-124.2205,53.106,2013-01-08,01,N,-1.660903,0.3851689,268.07477,272.70837,271.9241,272.27814,274.30252,2.0,4.0314768e-05,0.31704226,0.31580132,0.33220372,0.34292573
44,-123.97,53.106,2013-01-08,01,N,-1.6213765,0.3444932,268.24933,272.94873,272.1075,272.4568,274.48605,2.0,2.8066961e-05,0.31482846,0.3157004,0.32711092,0.34094036
45,-115.782,52.657,2013-01-09,01,D,0.86845624,1.6850936,265.9921,267.08698,268.651,270.79608,274.2316,2.0,4.8357375e-05,0.3821535,0.36243713,0.35900402,0.415851
46,-115.5315,52.657,2013-01-09,01,D,0.32015377,1.6795427,267.11426,267.90637,269.28546,270.69763,273.97784,2.0,3.1546402e-05,0.34675837,0.32830945,0.32444358,0.3774222
47,-115.281,52.657,2013-01-09,01,D,-0.65939415,1.9381438,268.24878,269.13245,270.02985,270.76044,274.02197,2.0,1.8429662e-05,0.34923023,0.32919073,0.32960072,0.37495384
48,-115.782,52.407,2013-01-09,01,D,1.4825668,2.1019661,264.52832,268.00146,269.00882,271.20248,273.94397,2.0,7.4150215e-05,0.32542628,0.30943698,0.30008963,0.35872656
49,-115.5315,52.407,2013-01-09,01,D,1.2287478,1.7438332,265.52658,267.83707,269.3478,270.9481,274.07294,2.0,3.9132447e-05,0.33457243,0.32730925,0.3225165,0.38172287
50,-115.281,52.407,2013-01-09,01,D,0.23418081,1.7036939,266.75293,268.65988,269.93796,270.8769,274.04865,2.0,2.2786273e-05,0.3387785,0.32864532,0.32852295,0.37753576
51,-115.782,52.156,2013-01-09,01,D,1.6673145,2.472084,263.20642,271.0266,271.41205,272.42493,274.13812,2.0,0.00011157869,0.26511097,0.265046,0.25358868,0.3139223
52,-115.5315,52.156,2013-01-09,01,D,2.082244,2.1391425,263.98486,270.52176,271.39328,272.34262,274.44244,2.0,5.941023e-05,0.3166945,0.31868073,0.31364837,0.37215573
53,-115.281,52.156,2013-01-09,01,D,1.3459723,1.7272162,264.76147,268.43234,270.52124,271.44418,274.20554,2.0,3.0945146e-05,0.32886437,0.32802114,0.32354116,0.37453854
54,-116.46,52.842,2013-01-11,01,D,1.1418759,1.0473384,246.20145,269.30914,269.90115,272.00668,274.82196,2.0,-3.5527137e-15,0.39299992,0.38360775,0.3865789,0.4479941
55,-116.2095,52.842,2013-01-11,01,D,1.3159618,1.0047927,245.26578,261.0798,265.6052,270.81995,274.90366,2.0,-3.5527137e-15,0.44661903,0.43330035,0.4357724,0.49571615
56,-115.959,52.842,2013-01-11,01,D,1.5295383,1.0197648,245.90675,256.83008,263.89258,270.6008,275.12012,2.0,7.7530785e-08,0.4766196,0.46132135,0.4656424,0.51993835
57,-116.46,52.592,2013-01-11,01,D,1.0419286,0.67880625,247.04274,270.846,271.5593,272.7541,274.3541,1.0,-3.5527137e-15,0.28216824,0.28131485,0.27491492,0.33974007
58,-116.2095,52.592,2013-01-11,01,D,1.154869,0.79004693,245.63672,261.64474,266.5249,270.7286,274.0375,1.0,-3.5527137e-15,0.31667814,0.3049119,0.29523245,0.35842595
59,-115.959,52.592,2013-01-11,01,D,1.2495878,1.0620297,245.16087,258.48413,264.40875,269.9812,273.95132,2.0,-3.5527137e-15,0.37668338,0.35176304,0.3426318,0.40034625
60,-116.46,52.341,2013-01-11,01,D,0.9081681,0.5089145,248.18547,271.4348,272.03955,272.84192,274.00232,1.0,-3.5527137e-15,0.20748508,0.20588924,0.19534822,0.26407897
61,-116.2095,52.341,2013-01-11,01,D,0.8456241,0.85786843,246.9982,269.253,270.72662,272.21286,273.9157,1.0,-3.5527137e-15,0.23737067,0.23164566,0.21752593,0.2818864
62,-115.959,52.341,2013-01-11,01,D,0.93818253,1.1902804,246.1006,266.9056,268.98727,271.50354,273.86865,1.0,-3.5527137e-15,0.3104275,0.2906227,0.27666372,0.33427015
63,-122.87,51.719,2013-01-15,01,D,2.9273968,1.057138,268.52814,272.39175,272.68353,273.0455,274.58002,2.0,0.0,0.31823647,0.31928286,0.32437503,0.3023289
64,-122.6195,51.719,2013-01-15,01,D,2.6518948,1.0148698,266.27902,272.34015,272.77853,273.32104,274.94113,2.0,0.0,0.30969346,0.3098259,0.31044,0.27979165
65,-122.369,51.719,2013-01-15,01,D,1.6696062,1.0912609,264.1018,272.3118,272.83942,273.55093,275.26334,2.0,0.0,0.30245382,0.30197084,0.29810572,0.26413023
66,-122.87,51.469,2013-01-15,01,D,3.3188677,1.2456818,272.22656,272.61786,272.76166,272.9896,274.1949,2.0,0.0,0.2957916,0.29639763,0.30701616,0.31649292
67,-122.6195,51.469,2013-01-15,01,D,2.8096912,1.4138627,270.63727,272.59033,272.8294,273.15762,274.49808,2.0,0.0,0.31629294,0.31519008,0.32858455,0.31992784
68,-122.369,51.469,2013-01-15,01,D,1.7843168,1.4544199,267.72238,272.56433,272.90677,273.42905,274.86588,2.0,0.0,0.3079717,0.30638197,0.31305853,0.29728568
69,-122.87,51.218,2013-01-15,01,D,2.5617974,-0.12480366,270.1892,272.9028,273.06714,273.49072,274.23926,1.0,0.0,0.25192595,0.25864887,0.2589169,0.2927271
70,-122.6195,51.218,2013-01-15,01,D,2.7835176,0.4421774,269.66824,272.87,273.03775,273.4215,274.38196,2.0,0.0,0.30776352,0.310115,0.32403177,0.34314024
71,-122.369,51.218,2013-01-15,01,D,2.7060792,0.95527506,268.04584,272.77338,272.8577,273.18033,274.43912,2.0,0.0,0.32047606,0.320364,0.33032805,0.32875562
72,-123.228,52.103,2013-01-18,01,D,1.464309,1.2054217,269.8753,272.61557,272.54822,272.89703,274.42258,2.0,0.0,0.32803315,0.32605895,0.3284591,0.30760795
73,-122.9775,52.103,2013-01-18,01,D,1.886321,0.6865909,270.10803,272.7042,272.7533,273.21945,274.61682,2.0,0.0,0.3259133,0.3267589,0.33107027,0.30353317
74,-122.727,52.103,2013-01-18,01,D,2.0974903,0.6710422,270.74,272.71234,272.82648,273.39078,274.86496,2.0,0.0,0.32515442,0.32784408,0.33385277,0.30184487
