fire_latitude,fire_longitude,climate_latitude,climate_longitude,daynight,year,month,day,date,brightness,confidence,frp,bright_t31,fire_occurrence,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,soil_type,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
57.0958,-118.5595,56.423,-115.427,D,2019,01,01,2019-01-01,310.5,70,20.8,269.3,0,5.5707765,0.45173168,271.0074,269.91986,270.78244,272.81104,275.3493,3.0,4.7699086e-06,0.4212553,0.40767783,0.40086707,0.38412157
57.0937,-118.5797,56.423,-115.427,D,2019,01,01,2019-01-01,331.4,82,48.9,270.0,0,5.5707765,0.45173168,271.0074,269.91986,270.78244,272.81104,275.3493,3.0,4.7699086e-06,0.4212553,0.40767783,0.40086707,0.38412157
57.1035,-116.885,55.313,-110.782,D,2019,01,03,2019-01-03,301.3,0,9.8,264.7,0,4.913982,0.74280506,273.66714,272.37704,270.62396,273.26108,276.11914,6.0,0.0,0.6350956,0.5905112,0.60275865,0.6246923
57.1014,-116.8677,55.313,-110.782,D,2019,01,03,2019-01-03,304.5,0,11.7,265.4,0,4.913982,0.74280506,273.66714,272.37704,270.62396,273.26108,276.11914,6.0,0.0,0.6350956,0.5905112,0.60275865,0.6246923
55.2059,-111.8443,55.313,-110.782,D,2019,01,03,2019-01-03,315.3,76,22.3,269.0,0,4.913982,0.74280506,273.66714,272.37704,270.62396,273.26108,276.11914,6.0,0.0,0.6350956,0.5905112,0.60275865,0.6246923
55.2029,-111.8277,55.313,-110.782,D,2019,01,03,2019-01-03,322.0,77,29.3,268.8,0,4.913982,0.74280506,273.66714,272.37704,270.62396,273.26108,276.11914,6.0,0.0,0.6350956,0.5905112,0.60275865,0.6246923
57.1079,-116.8664,55.313,-110.782,D,2019,01,03,2019-01-03,310.2,39,16.6,267.5,0,4.913982,0.74280506,273.66714,272.37704,270.62396,273.26108,276.11914,6.0,0.0,0.6350956,0.5905112,0.60275865,0.6246923
58.2335,-118.1193,55.313,-110.782,D,2019,01,03,2019-01-03,303.6,33,11.1,266.8,0,4.913982,0.74280506,273.66714,272.37704,270.62396,273.26108,276.11914,6.0,0.0,0.6350956,0.5905112,0.60275865,0.6246923
58.2244,-118.1153,55.313,-110.782,D,2019,01,03,2019-01-03,316.8,77,22.4,268.2,0,4.913982,0.74280506,273.66714,272.37704,270.62396,273.26108,276.11914,6.0,0.0,0.6350956,0.5905112,0.60275865,0.6246923
54.6754,-119.4829,54.379,-117.336,D,2019,01,14,2019-01-14,318.3,69,27.1,271.9,0,2.2634573,2.8715682,266.6532,270.84094,271.86288,273.34586,275.00708,2.0,0.0,0.38213742,0.38382822,0.3836816,0.38324755
54.7089,-119.2497,54.379,-117.336,D,2019,01,14,2019-01-14,319.7,72,28.5,270.6,0,2.2634573,2.8715682,266.6532,270.84094,271.86288,273.34586,275.00708,2.0,0.0,0.38213742,0.38382822,0.3836816,0.38324755
