fire_latitude,fire_longitude,climate_latitude,climate_longitude,daynight,year,month,day,date,brightness,confidence,frp,bright_t31,fire_occurrence,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,soil_type,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
55.7868,-121.7176,55.652,-116.859,N,2016,01,01,2016-01-01,308.4,61,59.1,267.4,0,4.444239,-0.09690767,269.55093,269.66476,269.7398,272.77615,277.04028,2.9999847,0.0,0.3576359,0.3317882,0.30711684,0.35203576
55.7833,-121.7095,55.652,-116.859,N,2016,01,01,2016-01-01,309.7,67,63.6,267.2,0,4.444239,-0.09690767,269.55093,269.66476,269.7398,272.77615,277.04028,2.9999847,0.0,0.3576359,0.3317882,0.30711684,0.35203576
56.504,-121.3266,55.539,-115.081,D,2016,01,02,2016-01-02,345.7,70,80.7,270.4,0,3.0096617,0.6602754,266.5351,269.79285,271.37762,272.7677,274.43506,0.0,0.0,0.15737593,0.15352565,0.15216249,0.16916072
56.4921,-121.3103,55.539,-115.081,D,2016,01,02,2016-01-02,316.3,0,27.7,266.7,0,3.0096617,0.6602754,266.5351,269.79285,271.37762,272.7677,274.43506,0.0,0.0,0.15737593,0.15352565,0.15216249,0.16916072
56.4976,-121.3372,55.539,-115.081,D,2016,01,02,2016-01-02,316.8,58,153.1,270.2,0,3.0096617,0.6602754,266.5351,269.79285,271.37762,272.7677,274.43506,0.0,0.0,0.15737593,0.15352565,0.15216249,0.16916072
55.4627,-120.205,55.539,-115.081,D,2016,01,02,2016-01-02,303.9,0,11.1,268.4,0,3.0096617,0.6602754,266.5351,269.79285,271.37762,272.7677,274.43506,0.0,0.0,0.15737593,0.15352565,0.15216249,0.16916072
55.4606,-120.2207,55.539,-115.081,D,2016,01,02,2016-01-02,335.2,78,42.5,270.5,0,3.0096617,0.6602754,266.5351,269.79285,271.37762,272.7677,274.43506,0.0,0.0,0.15737593,0.15352565,0.15216249,0.16916072
57.2229,-118.4905,55.539,-115.081,D,2016,01,02,2016-01-02,355.9,0,96.6,265.8,0,3.0096617,0.6602754,266.5351,269.79285,271.37762,272.7677,274.43506,0.0,0.0,0.15737593,0.15352565,0.15216249,0.16916072
53.8321,-117.2927,53.914,-116.086,D,2016,01,04,2016-01-04,379.4,100,0.0,267.2,1,3.872388,-1.6843452,260.84238,270.48718,271.99966,273.55597,275.89432,2.0,0.0,0.3016324,0.30099732,0.2873108,0.32781526
53.8262,-117.3004,53.914,-116.086,D,2016,01,04,2016-01-04,364.7,94,0.0,269.1,1,3.872388,-1.6843452,260.84238,270.48718,271.99966,273.55597,275.89432,2.0,0.0,0.3016324,0.30099732,0.2873108,0.32781526
55.7443,-121.7159,53.914,-116.086,D,2016,01,04,2016-01-04,322.0,65,29.5,267.2,0,3.872388,-1.6843452,260.84238,270.48718,271.99966,273.55597,275.89432,2.0,0.0,0.3016324,0.30099732,0.2873108,0.32781526
55.7415,-121.732,53.914,-116.086,D,2016,01,04,2016-01-04,356.7,0,95.5,271.3,0,3.872388,-1.6843452,260.84238,270.48718,271.99966,273.55597,275.89432,2.0,0.0,0.3016324,0.30099732,0.2873108,0.32781526
55.7533,-121.7207,53.914,-116.086,D,2016,01,04,2016-01-04,374.3,0,153.9,267.4,0,3.872388,-1.6843452,260.84238,270.48718,271.99966,273.55597,275.89432,2.0,0.0,0.3016324,0.30099732,0.2873108,0.32781526
55.7505,-121.737,53.914,-116.086,D,2016,01,04,2016-01-04,402.6,100,0.0,273.4,1,3.872388,-1.6843452,260.84238,270.48718,271.99966,273.55597,275.89432,2.0,0.0,0.3016324,0.30099732,0.2873108,0.32781526
55.7645,-121.7408,54.79,-119.52,D,2016,01,05,2016-01-05,384.3,100,0.0,267.9,1,0.4760931,0.43016258,252.53702,262.42798,266.44727,272.2075,275.50647,2.0,1.6971317e-06,0.3372792,0.33920842,0.33371258,0.34368274
55.7532,-121.7386,54.79,-119.52,D,2016,01,05,2016-01-05,381.7,100,0.0,266.3,1,0.4760931,0.43016258,252.53702,262.42798,266.44727,272.2075,275.50647,2.0,1.6971317e-06,0.3372792,0.33920842,0.33371258,0.34368274
56.0156,-122.3848,56.136,-122.297,D,2016,01,07,2016-01-07,383.7,100,0.0,270.4,1,-0.4073761,-0.41558516,260.9143,272.06757,271.94705,272.78802,274.51428,1.0,2.8635139e-05,0.27709734,0.27162963,0.2782702,0.29759932
57.4059,-121.7718,55.071,-119.45,D,2016,01,12,2016-01-12,363.6,75,111.3,268.9,0,4.7315817,2.1165378,270.29172,266.6422,267.2859,272.3799,276.02283,4.0,0.0,0.36340278,0.36072564,0.3497259,0.35565215
57.4089,-121.7887,55.071,-119.45,D,2016,01,12,2016-01-12,308.6,0,16.0,264.8,0,4.7315817,2.1165378,270.29172,266.6422,267.2859,272.3799,276.02283,4.0,0.0,0.36340278,0.36072564,0.3497259,0.35565215
57.4029,-121.7547,55.071,-119.45,D,2016,01,12,2016-01-12,331.7,0,37.3,267.2,0,4.7315817,2.1165378,270.29172,266.6422,267.2859,272.3799,276.02283,4.0,0.0,0.36340278,0.36072564,0.3497259,0.35565215
57.3772,-121.7577,55.071,-119.45,D,2016,01,12,2016-01-12,374.3,100,0.0,269.3,1,4.7315817,2.1165378,270.29172,266.6422,267.2859,272.3799,276.02283,4.0,0.0,0.36340278,0.36072564,0.3497259,0.35565215
56.3915,-122.2695,55.071,-119.45,D,2016,01,12,2016-01-12,368.6,100,131.4,273.0,1,4.7315817,2.1165378,270.29172,266.6422,267.2859,272.3799,276.02283,4.0,0.0,0.36340278,0.36072564,0.3497259,0.35565215
56.3886,-122.2529,55.071,-119.45,D,2016,01,12,2016-01-12,316.1,76,21.8,269.2,0,4.7315817,2.1165378,270.29172,266.6422,267.2859,272.3799,276.02283,4.0,0.0,0.36340278,0.36072564,0.3497259,0.35565215
56.0734,-120.8824,55.071,-119.45,D,2016,01,12,2016-01-12,321.7,71,32.4,268.8,0,4.7315817,2.1165378,270.29172,266.6422,267.2859,272.3799,276.02283,4.0,0.0,0.36340278,0.36072564,0.3497259,0.35565215
55.7114,-121.7193,55.071,-119.45,D,2016,01,12,2016-01-12,400.7,100,318.5,280.1,1,4.7315817,2.1165378,270.29172,266.6422,267.2859,272.3799,276.02283,4.0,0.0,0.36340278,0.36072564,0.3497259,0.35565215
55.7081,-121.7017,55.071,-119.45,D,2016,01,12,2016-01-12,326.4,79,35.2,271.2,0,4.7315817,2.1165378,270.29172,266.6422,267.2859,272.3799,276.02283,4.0,0.0,0.36340278,0.36072564,0.3497259,0.35565215
55.7021,-121.7242,55.071,-119.45,D,2016,01,12,2016-01-12,387.2,75,229.4,274.8,0,4.7315817,2.1165378,270.29172,266.6422,267.2859,272.3799,276.02283,4.0,0.0,0.36340278,0.36072564,0.3497259,0.35565215
55.699,-121.7072,55.071,-119.45,D,2016,01,12,2016-01-12,365.8,75,129.8,271.5,0,4.7315817,2.1165378,270.29172,266.6422,267.2859,272.3799,276.02283,4.0,0.0,0.36340278,0.36072564,0.3497259,0.35565215
56.3816,-122.2637,55.071,-119.45,D,2016,01,12,2016-01-12,310.7,33,70.2,265.9,0,4.7315817,2.1165378,270.29172,266.6422,267.2859,272.3799,276.02283,4.0,0.0,0.36340278,0.36072564,0.3497259,0.35565215
