fire_latitude,fire_longitude,climate_latitude,climate_longitude,daynight,year,month,day,date,brightness,confidence,frp,bright_t31,fire_occurrence,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,soil_type,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
56.2184,-121.9092,54.872,-117.463,D,2011,01,06,2011-01-06,300.6,40,10.8,269.4,0,7.8577685,1.0984979,274.42834,272.51663,271.45874,272.55774,275.4351,2.0,0.0,0.35118264,0.34110904,0.31878132,0.31713396
56.5192,-121.3507,54.872,-117.463,D,2011,01,06,2011-01-06,307.9,58,15.1,268.6,0,7.8577685,1.0984979,274.42834,272.51663,271.45874,272.55774,275.4351,2.0,0.0,0.35118264,0.34110904,0.31878132,0.31713396
57.2835,-118.4617,56.359,-116.393,D,2011,01,24,2011-01-24,316.1,76,20.8,272.9,0,2.1602378,4.0663657,269.7611,268.7751,270.34003,271.7946,273.86224,3.0,4.7214176e-05,0.25715625,0.238366,0.26278913,0.274919
57.0205,-121.9958,53.259,-119.61,D,2011,01,27,2011-01-27,332.1,88,45.6,273.9,0,-0.5878132,1.4316015,270.24692,272.92886,272.78717,273.15585,273.82928,3.0,2.022514e-05,0.3071307,0.31310254,0.31784368,0.3410632
57.0301,-121.9924,53.259,-119.61,D,2011,01,27,2011-01-27,331.0,87,43.5,273.9,0,-0.5878132,1.4316015,270.24692,272.92886,272.78717,273.15585,273.82928,3.0,2.022514e-05,0.3071307,0.31310254,0.31784368,0.3410632
57.028,-121.9734,53.259,-119.61,D,2011,01,27,2011-01-27,303.6,29,11.6,273.0,0,-0.5878132,1.4316015,270.24692,272.92886,272.78717,273.15585,273.82928,3.0,2.022514e-05,0.3071307,0.31310254,0.31784368,0.3410632
57.0184,-121.9767,53.259,-119.61,D,2011,01,27,2011-01-27,314.8,75,21.9,273.2,0,-0.5878132,1.4316015,270.24692,272.92886,272.78717,273.15585,273.82928,3.0,2.022514e-05,0.3071307,0.31310254,0.31784368,0.3410632
56.7925,-121.354,55.991,-118.19,D,2011,02,03,2011-02-03,322.4,71,27.1,272.6,0,4.8192377,1.8996824,276.77905,272.67624,271.26105,272.33804,274.49185,4.0,0.0,0.40439323,0.31500974,0.30874473,0.33889192
56.7903,-121.3372,55.991,-118.19,D,2011,02,03,2011-02-03,311.2,62,16.5,272.8,0,4.8192377,1.8996824,276.77905,272.67624,271.26105,272.33804,274.49185,4.0,0.0,0.40439323,0.31500974,0.30874473,0.33889192
56.6829,-121.7435,55.991,-118.19,D,2011,02,03,2011-02-03,322.8,82,28.4,269.8,0,4.8192377,1.8996824,276.77905,272.67624,271.26105,272.33804,274.49185,4.0,0.0,0.40439323,0.31500974,0.30874473,0.33889192
56.6808,-121.7266,55.991,-118.19,D,2011,02,03,2011-02-03,303.7,57,11.9,269.9,0,4.8192377,1.8996824,276.77905,272.67624,271.26105,272.33804,274.49185,4.0,0.0,0.40439323,0.31500974,0.30874473,0.33889192
56.6771,-121.7516,55.991,-118.19,D,2011,02,03,2011-02-03,341.5,80,56.0,268.8,0,4.8192377,1.8996824,276.77905,272.67624,271.26105,272.33804,274.49185,4.0,0.0,0.40439323,0.31500974,0.30874473,0.33889192
56.675,-121.7348,55.991,-118.19,D,2011,02,03,2011-02-03,361.4,87,104.1,272.7,0,4.8192377,1.8996824,276.77905,272.67624,271.26105,272.33804,274.49185,4.0,0.0,0.40439323,0.31500974,0.30874473,0.33889192
56.6769,-121.7282,55.991,-118.19,D,2011,02,03,2011-02-03,308.6,53,120.9,269.0,0,4.8192377,1.8996824,276.77905,272.67624,271.26105,272.33804,274.49185,4.0,0.0,0.40439323,0.31500974,0.30874473,0.33889192
56.6755,-121.7285,55.991,-118.19,D,2011,02,03,2011-02-03,307.5,62,126.9,269.1,0,4.8192377,1.8996824,276.77905,272.67624,271.26105,272.33804,274.49185,4.0,0.0,0.40439323,0.31500974,0.30874473,0.33889192
