fire_latitude,fire_longitude,climate_latitude,climate_longitude,daynight,year,month,day,date,brightness,confidence,frp,bright_t31,fire_occurrence,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,soil_type,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
54.4191,-118.6615,54.428,-118.738,D,2021,01,06,2021-01-06,326.5,84,28.1,272.7,0,0.59200895,3.9796474,273.23123,271.43494,270.65005,272.67487,274.7985,2.0,1.0006563e-05,0.3495974,0.35117358,0.3560056,0.3658254
54.4213,-118.6766,54.428,-118.738,D,2021,01,06,2021-01-06,327.0,85,29.0,273.0,0,0.59200895,3.9796474,273.23123,271.43494,270.65005,272.67487,274.7985,2.0,1.0006563e-05,0.3495974,0.35117358,0.3560056,0.3658254
54.4279,-118.6578,54.428,-118.738,D,2021,01,06,2021-01-06,309.2,68,14.3,271.8,0,0.59200895,3.9796474,273.23123,271.43494,270.65005,272.67487,274.7985,2.0,1.0006563e-05,0.3495974,0.35117358,0.3560056,0.3658254
54.4301,-118.6728,54.428,-118.738,D,2021,01,06,2021-01-06,314.2,74,18.1,273.1,0,0.59200895,3.9796474,273.23123,271.43494,270.65005,272.67487,274.7985,2.0,1.0006563e-05,0.3495974,0.35117358,0.3560056,0.3658254
54.7034,-119.4256,54.428,-118.738,D,2021,01,06,2021-01-06,302.4,52,11.3,273.9,0,0.59200895,3.9796474,273.23123,271.43494,270.65005,272.67487,274.7985,2.0,1.0006563e-05,0.3495974,0.35117358,0.3560056,0.3658254
54.4233,-118.6721,54.428,-118.738,D,2021,01,06,2021-01-06,331.2,87,42.6,274.3,0,0.59200895,3.9796474,273.23123,271.43494,270.65005,272.67487,274.7985,2.0,1.0006563e-05,0.3495974,0.35117358,0.3560056,0.3658254
55.7075,-115.8574,53.332,-115.05,D,2021,01,07,2021-01-07,307.6,66,49.2,269.1,0,1.9132986,1.7457304,267.35077,267.52667,270.9242,272.86688,275.36246,2.0,0.0,0.32999626,0.32055327,0.31219247,0.36631656
55.7127,-115.8581,53.332,-115.05,D,2021,01,07,2021-01-07,303.1,52,39.1,269.2,0,1.9132986,1.7457304,267.35077,267.52667,270.9242,272.86688,275.36246,2.0,0.0,0.32999626,0.32055327,0.31219247,0.36631656
55.7079,-115.8794,53.332,-115.05,D,2021,01,07,2021-01-07,313.3,73,27.8,269.0,0,1.9132986,1.7457304,267.35077,267.52667,270.9242,272.86688,275.36246,2.0,0.0,0.32999626,0.32055327,0.31219247,0.36631656
55.7122,-115.8588,53.332,-115.05,D,2021,01,07,2021-01-07,302.2,51,16.0,269.9,0,1.9132986,1.7457304,267.35077,267.52667,270.9242,272.86688,275.36246,2.0,0.0,0.32999626,0.32055327,0.31219247,0.36631656
