fire_latitude,fire_longitude,climate_latitude,climate_longitude,daynight,year,month,day,date,brightness,confidence,frp,bright_t31,fire_occurrence,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,soil_type,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
55.2479,-117.13,53.488,-116.829,D,2012,01,02,2012-01-02,303.3,55,14.4,268.7,0,3.1877966,1.9473119,265.30963,270.13498,272.5262,273.79034,276.91135,6.0,0.0,0.57034165,0.57220536,0.5716043,0.63761604
56.679,-118.241,53.488,-116.829,D,2012,01,02,2012-01-02,311.6,71,16.5,267.7,0,3.1877966,1.9473119,265.30963,270.13498,272.5262,273.79034,276.91135,6.0,0.0,0.57034165,0.57220536,0.5716043,0.63761604
56.6765,-118.2569,53.488,-116.829,D,2012,01,02,2012-01-02,332.5,88,38.3,269.0,0,3.1877966,1.9473119,265.30963,270.13498,272.5262,273.79034,276.91135,6.0,0.0,0.57034165,0.57220536,0.5716043,0.63761604
57.2555,-118.4023,53.488,-116.829,D,2012,01,02,2012-01-02,305.8,59,12.3,271.6,0,3.1877966,1.9473119,265.30963,270.13498,272.5262,273.79034,276.91135,6.0,0.0,0.57034165,0.57220536,0.5716043,0.63761604
52.7612,-116.2302,52.618,-114.204,D,2012,01,04,2012-01-04,320.4,75,31.3,279.3,0,1.8899579,2.403782,275.45917,274.01257,271.47385,272.90002,275.02957,2.0,1.5175456e-06,0.3117854,0.3060218,0.2942661,0.3660927
52.7947,-116.1412,52.618,-114.204,D,2012,01,04,2012-01-04,311.1,71,21.4,279.5,0,1.8899579,2.403782,275.45917,274.01257,271.47385,272.90002,275.02957,2.0,1.5175456e-06,0.3117854,0.3060218,0.2942661,0.3660927
52.7928,-116.1214,52.618,-114.204,D,2012,01,04,2012-01-04,323.5,82,38.4,278.4,0,1.8899579,2.403782,275.45917,274.01257,271.47385,272.90002,275.02957,2.0,1.5175456e-06,0.3117854,0.3060218,0.2942661,0.3660927
52.7819,-116.2256,52.618,-114.204,D,2012,01,04,2012-01-04,321.2,81,33.4,279.6,0,1.8899579,2.403782,275.45917,274.01257,271.47385,272.90002,275.02957,2.0,1.5175456e-06,0.3117854,0.3060218,0.2942661,0.3660927
52.7799,-116.2055,52.618,-114.204,D,2012,01,04,2012-01-04,317.9,78,28.3,278.4,0,1.8899579,2.403782,275.45917,274.01257,271.47385,272.90002,275.02957,2.0,1.5175456e-06,0.3117854,0.3060218,0.2942661,0.3660927
52.7856,-116.1146,52.618,-114.204,D,2012,01,04,2012-01-04,346.2,94,69.7,272.8,1,1.8899579,2.403782,275.45917,274.01257,271.47385,272.90002,275.02957,2.0,1.5175456e-06,0.3117854,0.3060218,0.2942661,0.3660927
52.7827,-116.1309,52.618,-114.204,D,2012,01,04,2012-01-04,344.1,94,65.2,273.4,1,1.8899579,2.403782,275.45917,274.01257,271.47385,272.90002,275.02957,2.0,1.5175456e-06,0.3117854,0.3060218,0.2942661,0.3660927
