fire_latitude,fire_longitude,climate_latitude,climate_longitude,daynight,year,month,day,date,brightness,confidence,frp,bright_t31,fire_occurrence,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,soil_type,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
56.4744,-122.2085,55.59,-121.045,D,2022,01,11,2022-01-11,317.7,68,128.2,269.9,0,0.54946244,1.9336357,271.0463,270.90036,271.1521,272.18658,274.42352,3.0,8.659823e-06,0.3434169,0.33797422,0.3310188,0.3280958
56.4635,-122.2232,55.59,-121.045,D,2022,01,11,2022-01-11,328.2,84,32.2,271.5,0,0.54946244,1.9336357,271.0463,270.90036,271.1521,272.18658,274.42352,3.0,8.659823e-06,0.3434169,0.33797422,0.3310188,0.3280958
56.4723,-122.228,55.59,-121.045,D,2022,01,11,2022-01-11,369.1,100,122.1,272.8,1,0.54946244,1.9336357,271.0463,270.90036,271.1521,272.18658,274.42352,3.0,8.659823e-06,0.3434169,0.33797422,0.3310188,0.3280958
56.4811,-122.2328,55.59,-121.045,D,2022,01,11,2022-01-11,314.5,57,18.2,265.9,0,0.54946244,1.9336357,271.0463,270.90036,271.1521,272.18658,274.42352,3.0,8.659823e-06,0.3434169,0.33797422,0.3310188,0.3280958
54.8853,-120.1457,54.857,-119.075,D,2022,01,13,2022-01-13,310.4,66,29.8,269.3,0,1.1063986,0.5925097,272.90317,271.10532,271.69418,273.23288,275.4308,2.0,0.00031877612,0.38206503,0.38294294,0.39021826,0.36715633
54.8877,-120.1429,54.857,-119.075,D,2022,01,13,2022-01-13,300.9,43,60.9,271.5,0,1.1063986,0.5925097,272.90317,271.10532,271.69418,273.23288,275.4308,2.0,0.00031877612,0.38206503,0.38294294,0.39021826,0.36715633
54.879,-120.1431,54.857,-119.075,D,2022,01,13,2022-01-13,303.0,20,10.7,271.4,0,1.1063986,0.5925097,272.90317,271.10532,271.69418,273.23288,275.4308,2.0,0.00031877612,0.38206503,0.38294294,0.39021826,0.36715633
54.8881,-120.1482,54.857,-119.075,D,2022,01,13,2022-01-13,316.8,77,22.7,271.9,0,1.1063986,0.5925097,272.90317,271.10532,271.69418,273.23288,275.4308,2.0,0.00031877612,0.38206503,0.38294294,0.39021826,0.36715633
55.6642,-120.9441,54.857,-119.075,D,2022,01,13,2022-01-13,303.9,54,14.0,269.8,0,1.1063986,0.5925097,272.90317,271.10532,271.69418,273.23288,275.4308,2.0,0.00031877612,0.38206503,0.38294294,0.39021826,0.36715633
56.3165,-122.0949,55.75,-120.183,D,2022,01,15,2022-01-15,313.3,30,63.1,273.8,0,5.3750134,2.978982,276.94052,271.70456,271.1673,272.6332,275.27487,3.0,0.0,0.4297306,0.39625663,0.38846403,0.34779042
56.3219,-122.0958,55.75,-120.183,D,2022,01,15,2022-01-15,303.4,49,24.8,274.8,0,5.3750134,2.978982,276.94052,271.70456,271.1673,272.6332,275.27487,3.0,0.0,0.4297306,0.39625663,0.38846403,0.34779042
