fire_latitude,fire_longitude,climate_latitude,climate_longitude,daynight,year,month,day,date,brightness,confidence,frp,bright_t31,fire_occurrence,10m_u_component_of_wind,10m_v_component_of_wind,2m_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,soil_type,total_precipitation,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4
56.7794,-118.0159,55.821,-118.056,N,2023,01,03,2023-01-03,314.9,87,28.1,266.6,0,1.2912289,0.5471124,260.43994,268.33914,270.3281,272.10364,276.87845,4.0,0.0,0.3738925,0.27361435,0.28022838,0.3692856
56.778,-118.0203,55.821,-118.056,N,2023,01,03,2023-01-03,320.2,100,34.5,266.9,1,1.2912289,0.5471124,260.43994,268.33914,270.3281,272.10364,276.87845,4.0,0.0,0.3738925,0.27361435,0.28022838,0.3692856
57.6993,-122.0246,54.615,-117.379,D,2023,01,04,2023-01-04,378.7,100,0.0,269.0,1,1.7282064,1.8883672,257.02133,268.0759,270.95236,272.52954,276.3292,2.0,0.0,0.336681,0.2957527,0.30005887,0.36916086
56.9816,-119.4234,54.615,-117.379,D,2023,01,04,2023-01-04,363.0,75,113.0,269.6,0,1.7282064,1.8883672,257.02133,268.0759,270.95236,272.52954,276.3292,2.0,0.0,0.336681,0.2957527,0.30005887,0.36916086
57.6896,-122.0221,54.615,-117.379,D,2023,01,04,2023-01-04,363.1,93,0.0,269.0,1,1.7282064,1.8883672,257.02133,268.0759,270.95236,272.52954,276.3292,2.0,0.0,0.336681,0.2957527,0.30005887,0.36916086
56.9678,-119.398,54.407,-115.918,D,2023,01,06,2023-01-06,316.0,31,27.2,269.8,0,0.48972267,1.1010667,257.93695,267.63873,270.4981,272.05167,274.99652,2.0,0.0,0.30469948,0.28963757,0.28559977,0.3420049
56.9661,-119.3577,56.156,-117.834,N,2023,01,07,2023-01-07,310.1,70,72.1,269.9,0,0.15432584,1.6160412,264.16705,266.4429,268.27554,271.50812,275.14093,4.0,0.0,0.3125188,0.25811455,0.29041922,0.3131318
56.9539,-119.4002,56.156,-117.834,N,2023,01,07,2023-01-07,317.8,94,101.7,269.5,1,0.15432584,1.6160412,264.16705,266.4429,268.27554,271.50812,275.14093,4.0,0.0,0.3125188,0.25811455,0.29041922,0.3131318
56.9677,-119.3665,56.156,-117.834,N,2023,01,07,2023-01-07,315.9,89,92.7,270.2,0,0.15432584,1.6160412,264.16705,266.4429,268.27554,271.50812,275.14093,4.0,0.0,0.3125188,0.25811455,0.29041922,0.3131318
56.9554,-119.4088,56.156,-117.834,N,2023,01,07,2023-01-07,309.5,66,70.6,269.1,0,0.15432584,1.6160412,264.16705,266.4429,268.27554,271.50812,275.14093,4.0,0.0,0.3125188,0.25811455,0.29041922,0.3131318
56.9608,-119.3638,56.156,-117.834,N,2023,01,07,2023-01-07,314.8,90,42.5,269.9,1,0.15432584,1.6160412,264.16705,266.4429,268.27554,271.50812,275.14093,4.0,0.0,0.3125188,0.25811455,0.29041922,0.3131318
